Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Kentucky,US,2021-09-26 04:31:50,37.6681,-84.6701,677174,8529,,,21.0,15086.48909622526,6777758.0,,1.259912613220774,84000021.0,USA,151706.6714596167,
Louisiana,US,2021-09-26 04:31:50,31.1695,-91.8678,734524,13741,,,22.0,15800.312941377915,9055280.0,,1.8707353333587464,84000022.0,USA,194787.7234396705,
Maine,US,2021-09-26 04:31:50,44.6939,-69.3819,87192,1013,,,23.0,6486.476835499162,2699410.0,,1.16180383521424,84000023.0,USA,200817.28179781165,
Maryland,US,2021-09-26 04:31:50,39.0639,-76.8021,526690,10369,,,24.0,8711.840520834712,12789453.0,,1.9687102470143727,84000024.0,USA,211546.97238358628,
Massachusetts,US,2021-09-26 04:31:50,42.2302,-71.5301,802829,18541,,,25.0,11647.858550079702,28165240.0,,2.309458178516222,84000025.0,USA,408635.8758204385,
Michigan,US,2021-09-26 04:31:50,43.3266,-84.5361,1132651,22214,,,26.0,11341.416023079131,16065993.0,,1.9612396051387408,84000026.0,USA,160871.36323269672,
Minnesota,US,2021-09-26 04:31:50,45.6945,-93.9002,697182,8169,,,27.0,12362.189589675354,11025022.0,,1.1717169978570876,84000027.0,USA,195491.868973011,
Mississippi,US,2021-09-26 04:31:50,32.7416,-89.6787,482902,9425,,,28.0,16225.733321819573,2430052.0,,1.951741761268332,84000028.0,USA,81650.88508673458,
Missouri,US,2021-09-26 04:31:50,38.4561,-92.2884,818075,11817,,,29.0,13329.280604187945,6968763.0,,1.4444885860098402,84000029.0,USA,113545.33201855893,
Montana,US,2021-09-26 04:31:50,46.9219,-110.4544,146035,1945,,,30.0,13663.735593359894,1804249.0,,1.3318724963193755,84000030.0,USA,168814.19714851913,
Nebraska,US,2021-09-26 04:31:50,41.1254,-98.2681,262475,2405,,,31.0,13568.750749583334,3631993.0,,0.916277740737213,84000031.0,USA,187757.33971323527,
Nevada,US,2021-09-26 04:31:50,38.3135,-117.0554,416496,7015,,,32.0,13521.9125265084,4310870.0,,1.684289885136952,84000032.0,USA,139956.22299649758,
New Hampshire,US,2021-09-26 04:31:50,43.4525,-71.5639,117454,1472,,,33.0,8638.159138228639,2387005.0,,1.2532565940708702,84000033.0,USA,175552.37840982384,
New Jersey,US,2021-09-26 04:31:50,40.2989,-74.521,1146089,27323,,,34.0,12903.225443274689,15511754.0,,2.3840207872163504,84000034.0,USA,174638.84469933654,
